name,price,rating,image
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Â£22.50,3,data/raw/images/3_star/america's_cradle_of_quarterbacks_western_pennsylv.png
Aladdin and His Wonderful Lamp,Â£53.13,3,data/raw/images/3_star/aladdin_and_his_wonderful_lamp.png
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,Â£40.30,5,data/raw/images/5_star/worlds_elsewhere_journeys_around_shakespeareâs_.png
Wall and Piece,Â£44.18,4,data/raw/images/4_star/wall_and_piece.png
The Four Agreements: A Practical Guide to Personal Freedom,Â£17.66,5,data/raw/images/5_star/the_four_agreements_a_practical_guide_to_personal.png
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Â£31.05,3,data/raw/images/3_star/the_five_love_languages_how_to_express_heartfelt_.png
The Elephant Tree,Â£23.82,5,data/raw/images/5_star/the_elephant_tree.png
The Bear and the Piano,Â£36.89,1,data/raw/images/1_star/the_bear_and_the_piano.png
Sophie's World,Â£15.94,5,data/raw/images/5_star/sophie's_world.png
Penny Maybe,Â£33.29,3,data/raw/images/3_star/penny_maybe.png
Maude (1883-1993):She Grew Up with the country,Â£18.02,2,data/raw/images/2_star/maude_(1883-1993)she_grew_up_with_the_country.png
"In a Dark, Dark Wood",Â£19.63,1,"data/raw/images/1_star/in_a_dark,_dark_wood.png"
Behind Closed Doors,Â£52.22,4,data/raw/images/4_star/behind_closed_doors.png
You can't bury them all: Poems,Â£33.63,2,data/raw/images/2_star/you_can't_bury_them_all_poems.png
Slow States of Collapse: Poems,Â£57.31,3,data/raw/images/3_star/slow_states_of_collapse_poems.png
Reasons to Stay Alive,Â£26.41,2,data/raw/images/2_star/reasons_to_stay_alive.png
Private Paris (Private #10),Â£47.61,5,data/raw/images/5_star/private_paris_(private_#10).png
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Â£23.11,5,data/raw/images/5_star/#higherselfie_wake_up_your_life._free_your_soul._.png
Without Borders (Wanderlove #1),Â£45.07,2,data/raw/images/2_star/without_borders_(wanderlove_#1).png
When We Collided,Â£31.77,1,data/raw/images/1_star/when_we_collided.png
"We Love You, Charlie Freeman",Â£50.27,5,"data/raw/images/5_star/we_love_you,_charlie_freeman.png"
Untitled Collection: Sabbath Poems 2014,Â£14.27,4,data/raw/images/4_star/untitled_collection_sabbath_poems_2014.png
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Â£44.18,4,"data/raw/images/4_star/unseen_city_the_majesty_of_pigeons,_the_discreet_.png"
Unicorn Tracks,Â£18.78,3,data/raw/images/3_star/unicorn_tracks.png
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",Â£25.52,1,"data/raw/images/1_star/unbound_how_eight_technologies_made_us_human,_tra.png"
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Â£16.28,1,data/raw/images/1_star/tsubasa_world_chronicle_2_(tsubasa_world_chronicl.png
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Â£31.12,3,data/raw/images/3_star/throwing_rocks_at_the_google_bus_how_growth_becam.png
This One Summer,Â£19.49,4,data/raw/images/4_star/this_one_summer.png
Thirst,Â£17.27,5,data/raw/images/5_star/thirst.png
The Torch Is Passed: A Harding Family Story,Â£19.09,1,data/raw/images/1_star/the_torch_is_passed_a_harding_family_story.png
The Secret of Dreadwillow Carse,Â£56.13,1,data/raw/images/1_star/the_secret_of_dreadwillow_carse.png
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",Â£56.41,1,data/raw/images/1_star/the_pioneer_woman_cooks_dinnertime_comfort_class.png
The Past Never Ends,Â£56.50,4,data/raw/images/4_star/the_past_never_ends.png
The Natural History of Us (The Fine Art of Pretending #2),Â£45.22,3,data/raw/images/3_star/the_natural_history_of_us_(the_fine_art_of_pretend.png
